차량명,연식,주행거리,가격
기아 더 뉴 K3 2세대 프레스티지,22년 6월식,"92,801km","1,490만원"
현대 투싼 하이브리드 (4세대) 1.6 터보 2WD 인스퍼레이션,22년 3월식,"55,557km","2,890만원"
BMW X4 (G02) 가솔린 4WD xDrive20i M 스포츠 X 온라인 익스클루시브 에디션,21년 10월식,"14,274km","4,690만원"
제네시스 GV70 디젤 2.2 2WD,21년 1월식,"84,072km","3,350만원"
현대 팰리세이드 디젤 2.2 4WD 캘리그래피 (7인승),21년 12월식(22년형),"79,816km","3,050만원"
기아 더 뉴 니로 노블레스 스폐셜,21년 1월식,"100,303km","1,770만원"
현대 베라크루즈 디젤 4WD 300VXL 프리미엄,11년 6월식,"100,324km","1,090만원"
현대 싼타페 TM 디젤 2.0 4WD 프레스티지,19년 1월식,"99,513km","2,020만원"
기아 올 뉴 K3 프레스티지,18년 3월식(19년형),"42,774km","1,250만원"
BMW X4 (G02) 디젤 4WD xDrive20d M 스포츠,19년 9월식,"36,398km","3,810만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 프레스티지,21년 1월식,"46,666km","2,140만원"
BMW 5시리즈 (G30) 520d 럭셔리 스페셜 에디션,18년 3월식,"73,266km","2,350만원"
현대 올 뉴 투싼 디젤 1.7 2WD 모던,16년 5월식(17년형),"103,973km","1,150만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,21년 3월식,"81,991km","2,870만원"
현대 그랜저 IG 2.4 프리미엄 스페셜,17년 3월식(18년형),"55,391km","1,550만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 프레스티지,23년 1월식,"47,803km","2,650만원"
현대 포터2 LPi 2.5 터보 카고 더블캡 초장축 프리미엄,25년 4월식,"5,184km","2,030만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,21년 2월식,"105,220km","1,950만원"
기아 K3 GT 1.6 터보 5도어 시그니처,20년 9월식(21년형),"67,841km","1,680만원"
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 세부등급 없음,17년 2월식,"107,871km","1,230만원"
쉐보레(GM대우) 리얼 뉴 콜로라도 가솔린 4WD 3.6 익스트림-X,21년 3월식,"38,221km","2,290만원"
KGM 티볼리 아머 VX 2WD,17년 8월식(18년형),"110,957km",740만원
기아 카니발 (4세대) 디젤 2.2 (7인승) 시그니처,23년 8월식,"18,302km","3,870만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,22년 9월식,"49,897km","7,190만원"
기아 K5 3세대 가솔린 터보 1.6 프레스티지,22년 1월식,"48,562km","1,990만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄,21년 4월식,"90,925km","1,950만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,21년 1월식,"59,488km","2,640만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 싼타페 DM 디젤(e-VGT) 2.2 2WD 모던,13년 1월식,"98,302km",850만원
BMW X7 (G07) 디젤 4WD xDrive 40d M 스포츠 6인승,22년 3월식,"78,520km","8,130만원"
지프 레니게이드 2.4 리미티드,19년 7월식,"61,328km","1,230만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,21년 1월식,"53,632km","1,710만원"
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 캘리그래피,23년 3월식,"48,076km","3,280만원"
볼보 S60 3세대 가솔린 2WD B5 R-디자인,22년 1월식,"55,754km","2,990만원"
기아 K8 하이브리드 노블레스 라이트,23년 3월식,"60,930km","2,660만원"
기아 K8 가솔린 2.5 노블레스,22년 8월식(23년형),"47,265km","2,550만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 2월식,"33,171km","1,710만원"
기아 올 뉴 K7 2.4 GDI 노블레스,19년 2월식,"96,443km","1,530만원"
기아 셀토스 가솔린 터보 1.6 2WD 프레스티지,21년 4월식(22년형),"80,197km","1,770만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,21년 12월식(22년형),"50,898km","2,720만원"
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,20년 5월식,"137,413km","1,120만원"
제네시스 G90 가솔린 4WD 3.8 프레스티지,21년 1월식,"74,832km","4,720만원"
현대 아반떼 하이브리드 (CN7) 인스퍼레이션,21년 12월식(22년형),"54,318km","1,730만원"
기아 니로 프레스티지,16년 6월식(17년형),"92,667km","1,190만원"
기아 니로 프레스티지,17년 5월식(18년형),"99,666km","1,340만원"
기아 K5 3세대 가솔린 2.0 시그니처,21년 1월식,"50,530km","2,090만원"
기아 디 올 뉴 니로 트렌디,22년 4월식,"62,030km","2,230만원"
현대 올 뉴 투싼 TL 디젤 1.6 2WD 모던,19년 5월식,"87,265km","1,490만원"
